dps310_pressure,dps310_temp,bno08x_accel_z,bno08x_accel_x,bno08x_accel_y,timestamp
972.708,35.8941,,,,1725197563312
,,0.613281,1.07422,-9.72656,1725197563373
972.708,35.8978,,,,1725197563466
,,0.191406,0.726563,-9.80859,1725197563525
972.707,35.9023,,,,1725197563632
,,0.0390625,0.726563,-9.80469,1725197563690
972.708,35.9023,,,,1725197563781
,,0.882813,0.691406,-9.88281,1725197563842
972.708,35.8992,,,,1725197563927
,,0.230469,0.34375,-9.84375,1725197564008
972.709,35.9069,,,,1725197564100
,,0.652344,1.14844,-9.76953,1725197564159
972.709,35.9046,,,,1725197564247
,,-0.269531,1.03516,-9.84766,1725197564326
972.709,35.9046,,,,1725197564413
,,1.33984,0.535156,-9.73047,1725197564471
972.709,35.904,,,,1725197564556
,,-0.230469,0.691406,-9.76563,1725197564616
972.71,35.9125,,,,1725197564729
,,-0.269531,0.574219,-10.0703,1725197564795
972.711,35.9156,,,,1725197564888
,,0.917969,0.535156,-9.73047,1725197564949
972.711,35.9165,,,,1725197565059
,,0.382813,0.574219,-9.76953,1725197565126
972.712,35.9165,,,,1725197565210
,,0.152344,0.84375,-9.76563,1725197565278
972.712,35.9145,,,,1725197565395
,,-0.535156,0.804688,-9.80859,1725197565457
972.712,35.9171,,,,1725197565549
,,0.269531,0.804688,-9.84375,1725197565607
972.713,35.9162,,,,1725197565721
,,0.113281,0.691406,-9.6875,1725197565783
972.711,35.9162,,,,1725197565877
,,0.230469,0.996094,-9.80859,1725197565936
972.71,35.9205,,,,1725197566059
,,-0.0390625,0.84375,-9.92188,1725197566121
972.71,35.9185,,,,1725197566212
,,0.269531,0.804688,-9.84375,1725197566277
972.711,35.9213,,,,1725197566387
,,0.535156,0.460938,-9.60938,1725197566446
972.71,35.9193,,,,1725197566533
,,0.882813,0.652344,-9.80469,1725197566593
972.708,35.9193,,,,1725197566702
,,0.304688,0.84375,-9.6875,1725197566762
972.707,35.9258,,,,1725197566846
,,0.152344,0.996094,-10.0313,1725197566908
972.707,35.9221,,,,1725197567018
,,-0.691406,0.84375,-9.92578,1725197567088
972.708,35.9244,,,,1725197567180
,,1.03516,0.726563,-10.3047,1725197567241
972.709,35.9244,,,,1725197567328
,,0.230469,0.152344,-9.72656,1725197567409
972.707,35.9242,,,,1725197567503
,,0.496094,0.957031,-9.73047,1725197567564
972.708,35.9327,,,,1725197567649
