pressure,temp,timestamp
972.715,35.769,1725197597376
972.713,35.7713,1725197597568
972.711,35.7708,1725197597748
972.712,35.7708,1725197597904
972.713,35.7753,1725197598083
972.713,35.7807,1725197598235
972.713,35.7818,1725197598411
972.711,35.7818,1725197598562
972.711,35.786,1725197598736
972.71,35.7965,1725197598885
972.71,35.7971,1725197599064
972.71,35.79,1725197599213
972.709,35.79,1725197599386
972.71,35.7997,1725197599534
972.711,35.8022,1725197599714
972.711,35.8059,1725197599862
972.71,35.8068,1725197600037
972.709,35.8068,1725197600183
972.707,35.8084,1725197600339
972.707,35.807,1725197600521
972.709,35.7991,1725197600667
972.708,35.7991,1725197600847
972.705,35.7971,1725197601000
972.708,35.8221,1725197601168
972.706,35.821,1725197601627
972.705,35.8218,1725197601802
972.705,35.8257,1725197601974
972.708,35.828,1725197602128
972.705,35.828,1725197602302
972.701,35.8292,1725197602446
972.701,35.8306,1725197602612
972.702,35.8297,1725197602757
972.703,35.8297,1725197602930
972.701,35.813,1725197603084
972.703,35.8453,1725197603258
972.702,35.8413,1725197603403
972.703,35.8467,1725197603576
972.705,35.8467,1725197603722
972.703,35.8456,1725197603902
972.703,35.8513,1725197604058
972.705,35.8481,1725197604229
972.706,35.8481,1725197604375
972.708,35.8527,1725197604548
972.707,35.8521,1725197604701
972.708,35.8533,1725197604877
972.71,35.8629,1725197605026
972.71,35.8629,1725197605193
972.709,35.8618,1725197605365
972.709,35.866,1725197605511
972.71,35.8635,1725197605684
972.712,35.8635,1725197605841
972.713,35.8674,1725197606011
972.713,35.8717,1725197606162
972.711,35.8717,1725197606335
972.713,35.8768,1725197606486
972.712,35.8768,1725197606659
972.709,35.8768,1725197606812
972.709,35.8822,1725197606989
972.709,35.8853,1725197607136
972.708,35.8853,1725197607308
972.71,35.8842,1725197607456
972.708,35.8867,1725197607636
972.708,35.8893,1725197607783
972.707,35.8901,1725197607958
972.707,35.8901,1725197608102
972.708,35.8941,1725197608274
972.708,35.8978,1725197608428
972.707,35.9023,1725197608594
972.708,35.9023,1725197608743
972.708,35.8992,1725197608889
972.709,35.9069,1725197609062
972.709,35.9046,1725197609209
972.709,35.9046,1725197609375
972.709,35.904,1725197609518
972.71,35.9125,1725197609691
972.711,35.9156,1725197609850
972.711,35.9165,1725197610021
972.712,35.9165,1725197610172
972.712,35.9145,1725197610357
972.712,35.9171,1725197610511
972.713,35.9162,1725197610683
972.711,35.9162,1725197610839
972.71,35.9205,1725197611021
972.71,35.9185,1725197611174
972.711,35.9213,1725197611349
972.71,35.9193,1725197611495
972.708,35.9193,1725197611664
972.707,35.9258,1725197611808
972.707,35.9221,1725197611980
972.708,35.9244,1725197612142
972.709,35.9244,1725197612290
972.707,35.9242,1725197612465
972.708,35.9327,1725197612611
972.709,35.9315,1725197612789
972.706,35.9315,1725197612937
972.707,35.9386,1725197613110
972.705,35.942,1725197613257
